id,title,category,location,hidden,start_time,end_time,cost,capacity,created_at,updated_at,organizer_id,available_places
51,Cambridge,meeting,0101000020E610000030934CB012F94A400D21B52A869A3B40,false,2018-10-07 04:53:43.000000,2018-10-08 01:34:32.000000,95.32,100,2018-11-25 20:06:35.610039,2018-11-25 20:06:35.610039,1,100
52,Goodsprings,meeting,0101000020E6100000B327EF439AF74A40B2A2AECC86A33B40,false,2018-10-07 18:40:12.000000,2018-10-08 01:01:32.000000,41.11,73,2018-11-25 20:06:35.618037,2018-11-25 20:06:35.618037,1,73
53,Anchorage,other,0101000020E610000024BEFFA38AF34A400353DABE137B3B40,false,2018-10-07 04:23:21.000000,2018-10-07 23:22:04.000000,25.17,48,2018-11-25 20:06:35.626039,2018-11-25 20:06:35.626039,1,48
55,Sloan,volleyball,0101000020E6100000DC7C305A98F94A4002CEBD3052AB3B40,false,2018-10-07 10:28:07.000000,2018-10-08 10:01:37.000000,95.15,59,2018-11-25 20:06:35.650049,2018-11-25 20:06:35.650049,1,59
57,Sloan,freewalkingtours,0101000020E610000089E686FB7FF54A40D7A88262869D3B40,false,2018-10-07 19:07:18.000000,2018-10-08 04:17:23.000000,93.24,81,2018-11-25 20:06:35.672044,2018-11-25 20:06:35.672044,1,81
58,Lexington,freewalkingtours,0101000020E61000004D5C395232F64A402841B6AF22A33B40,false,2018-10-07 11:38:10.000000,2018-10-07 23:54:34.000000,34.54,52,2018-11-25 20:06:35.683044,2018-11-25 20:06:35.683044,1,52
59,Vault 15,football,0101000020E61000008A424A6C0FF94A405E072361748A3B40,false,2018-10-07 03:05:47.000000,2018-10-08 01:12:55.000000,59.85,21,2018-11-25 20:06:35.690039,2018-11-25 20:06:35.690039,1,21
60,Vault 11,volleyball,0101000020E6100000DA934967A2F74A40C7729EF694823B40,false,2018-10-07 12:28:34.000000,2018-10-07 21:07:26.000000,32.91,65,2018-11-25 20:06:35.699042,2018-11-25 20:06:35.699042,1,65
61,Nipton,football,0101000020E6100000242013ADA6F04A4033F74AA428773B40,false,2018-10-07 17:38:22.000000,2018-10-08 15:05:43.000000,84.66,33,2018-11-25 20:06:35.707040,2018-11-25 20:06:35.707040,1,33
62,Nipton,meeting,0101000020E61000000E0543B0ADF84A40017C89DDB9943B40,false,2018-10-07 12:04:28.000000,2018-10-08 05:59:41.000000,60.41,19,2018-11-25 20:06:35.715079,2018-11-25 20:06:35.715079,1,19
63,Little Lamplight,meeting,0101000020E61000002AD25B223EF34A40DC1503CCA1943B40,false,2018-10-07 16:36:33.000000,2018-10-08 01:22:57.000000,24.99,47,2018-11-25 20:06:35.723038,2018-11-25 20:06:35.723038,1,47
64,Concord,volleyball,0101000020E6100000ECCEB9AA4CF34A403CD913F9A38C3B40,false,2018-10-07 09:34:49.000000,2018-10-08 07:07:31.000000,38.12,56,2018-11-25 20:06:35.728037,2018-11-25 20:06:35.728037,1,56
65,Big MT,meeting,0101000020E61000003BF9BCA21AF94A404A9971C6CB993B40,false,2018-10-07 13:26:49.000000,2018-10-08 14:31:09.000000,78.37,76,2018-11-25 20:06:35.736039,2018-11-25 20:06:35.736039,1,76
66,Big town,other,0101000020E6100000FA8705BA1EF64A40812C82C11CA63B40,false,2018-10-07 18:05:28.000000,2018-10-08 17:47:02.000000,27.41,73,2018-11-25 20:06:35.741035,2018-11-25 20:06:35.741035,1,73
67,Cambridge,football,0101000020E610000000F15311A5EE4A4021743288F27A3B40,false,2018-10-07 12:51:18.000000,2018-10-08 18:47:17.000000,64.02,41,2018-11-25 20:06:35.751036,2018-11-25 20:06:35.751036,1,41
68,Hoover Dam,basketball,0101000020E6100000EBC92D6238ED4A40B010B0C70D793B40,false,2018-10-07 18:58:31.000000,2018-10-07 21:07:53.000000,96.49,31,2018-11-25 20:06:35.759039,2018-11-25 20:06:35.759039,1,31
69,New Vegas,football,0101000020E6100000D01EC09360ED4A408A17DF59C97E3B40,false,2018-10-07 09:26:57.000000,2018-10-08 10:19:59.000000,70.87,91,2018-11-25 20:06:35.767041,2018-11-25 20:06:35.767041,1,91
70,The Commonwealth,football,0101000020E610000079A6231459EF4A40005D2F9D51A53B40,false,2018-10-07 04:29:10.000000,2018-10-08 17:12:37.000000,78.29,14,2018-11-25 20:06:35.773039,2018-11-25 20:06:35.773039,1,14
71,Capital Wasteland,volleyball,0101000020E6100000D50CE2520DF24A4021BB107D1DA93B40,false,2018-10-07 19:21:30.000000,2018-10-08 14:50:35.000000,71.26,57,2018-11-25 20:06:35.780081,2018-11-25 20:06:35.780081,1,57
73,Vault 3,meeting,0101000020E6100000D0CC4AFF1CF04A4013E6F76015873B40,false,2018-10-07 16:30:40.000000,2018-10-08 07:51:10.000000,95.55,72,2018-11-25 20:06:35.793038,2018-11-25 20:06:35.793038,1,72
74,Vault 11,meeting,0101000020E6100000F894056140F84A40A3338497508C3B40,false,2018-10-07 01:18:53.000000,2018-10-08 14:03:34.000000,54.42,78,2018-11-25 20:06:35.801038,2018-11-25 20:06:35.801038,1,78
75,Hoover Dam,other,0101000020E6100000662AE438FDF04A40385C323186A73B40,false,2018-10-07 05:12:01.000000,2018-10-08 12:16:32.000000,54.12,50,2018-11-25 20:06:35.807038,2018-11-25 20:06:35.807038,1,50
76,Nipton,meeting,0101000020E61000008C9F26F737ED4A4025CA0A30FA7E3B40,false,2018-10-07 20:07:58.000000,2018-10-08 12:38:42.000000,52.55,28,2018-11-25 20:06:35.812043,2018-11-25 20:06:35.812043,1,28
77,Megaton,football,0101000020E61000002FA2436517F04A4073CF4328748B3B40,false,2018-10-07 19:52:38.000000,2018-10-08 08:52:18.000000,64.48,4,2018-11-25 20:06:35.821042,2018-11-25 20:06:35.821042,1,4
78,Hoover Dam,meeting,0101000020E6100000095F41CEC7F44A40858434C04E783B40,false,2018-10-07 12:31:09.000000,2018-10-08 18:42:27.000000,98.88,27,2018-11-25 20:06:35.826038,2018-11-25 20:06:35.826038,1,27
80,Big MT,other,0101000020E6100000FAA483DCB0F34A400D8B97C138793B40,false,2018-10-07 12:52:30.000000,2018-10-08 03:22:37.000000,51.52,63,2018-11-25 20:06:35.841039,2018-11-25 20:06:35.841039,1,63
81,Diamond City,basketball,0101000020E6100000279480C91EF14A402A935939D0903B40,false,2018-10-07 15:16:36.000000,2018-10-08 07:33:08.000000,49.66,29,2018-11-25 20:06:35.853038,2018-11-25 20:06:35.853038,1,29
82,Cambridge,basketball,0101000020E610000074E025C8F1EB4A403BAECD46E8943B40,false,2018-10-07 18:35:22.000000,2018-10-08 19:55:50.000000,74.15,19,2018-11-25 20:06:35.861043,2018-11-25 20:06:35.861043,1,19
83,Concord,meeting,0101000020E61000006288478E3EED4A406775FC4EB38E3B40,false,2018-10-07 18:32:07.000000,2018-10-08 07:45:41.000000,15.67,73,2018-11-25 20:06:35.869042,2018-11-25 20:06:35.869042,1,73
84,Cambridge,basketball,0101000020E6100000FC10F99A87F24A40E792CF5FC8A73B40,false,2018-10-07 09:38:34.000000,2018-10-08 03:37:46.000000,21.42,5,2018-11-25 20:06:35.874041,2018-11-25 20:06:35.874041,1,5
85,Vault 22,football,0101000020E61000001E8392F5B5F14A408041EF900A793B40,false,2018-10-07 05:51:24.000000,2018-10-08 19:36:55.000000,30.31,65,2018-11-25 20:06:35.879044,2018-11-25 20:06:35.879044,1,65
86,The Institute,other,0101000020E6100000979EB46B27F64A400A5FE879E8963B40,false,2018-10-07 01:59:42.000000,2018-10-08 16:09:08.000000,90.78,29,2018-11-25 20:06:35.889040,2018-11-25 20:06:35.889040,1,29
87,Diamond City,meeting,0101000020E610000024EB2160CCF24A4069800818BC8F3B40,false,2018-10-07 03:45:08.000000,2018-10-07 22:42:07.000000,25.07,77,2018-11-25 20:06:35.894042,2018-11-25 20:06:35.894042,1,77
88,Big MT,volleyball,0101000020E61000006F73A68141ED4A4029DDFE91B2A93B40,false,2018-10-07 13:05:51.000000,2018-10-08 12:55:10.000000,61.44,65,2018-11-25 20:06:35.901038,2018-11-25 20:06:35.901038,1,65
89,Anchorage,freewalkingtours,0101000020E610000093644452AFF44A40DA92B8E7B4A23B40,false,2018-10-07 08:12:19.000000,2018-10-08 02:22:43.000000,33.87,87,2018-11-25 20:06:35.907041,2018-11-25 20:06:35.907041,1,87
90,Megaton,volleyball,0101000020E61000002DA85C2678F44A40A9B1D66B638D3B40,false,2018-10-07 20:07:21.000000,2018-10-08 13:31:30.000000,22.72,70,2018-11-25 20:06:35.912042,2018-11-25 20:06:35.912042,1,70
91,Vault 19,meeting,0101000020E61000007D8091333EF64A4010B12D7E6C903B40,false,2018-10-07 06:28:59.000000,2018-10-08 08:56:00.000000,35.58,55,2018-11-25 20:06:35.918041,2018-11-25 20:06:35.918041,1,55
94,Goodsprings,freewalkingtours,0101000020E6100000EF47A9A5CDF84A407E59A983DAA33B40,false,2018-10-07 00:58:00.000000,2018-10-08 04:18:21.000000,87.96,65,2018-11-25 20:06:35.934043,2018-11-25 20:06:35.934043,1,65
95,Dog City,other,0101000020E6100000C04837DFC3F04A40DA4D913E5C803B40,false,2018-10-07 15:22:50.000000,2018-10-07 23:39:08.000000,15.29,6,2018-11-25 20:06:35.942037,2018-11-25 20:06:35.942037,1,6
96,Nipton,freewalkingtours,0101000020E6100000EBE790BC1FEE4A40C8E9F8BD66843B40,false,2018-10-07 06:25:47.000000,2018-10-08 15:13:35.000000,46.13,13,2018-11-25 20:06:35.951037,2018-11-25 20:06:35.951037,1,13
97,Big town,other,0101000020E610000051B0D72EB6F24A40A02BB0D2F3873B40,false,2018-10-07 11:35:01.000000,2018-10-08 06:26:56.000000,85.61,11,2018-11-25 20:06:35.960036,2018-11-25 20:06:35.960036,1,11
98,Diamond City,basketball,0101000020E6100000E87A4C869AF94A40FE12509E7B7F3B40,false,2018-10-07 13:13:22.000000,2018-10-08 13:56:05.000000,59.41,90,2018-11-25 20:06:35.970042,2018-11-25 20:06:35.970042,1,90
99,Cambridge,football,0101000020E61000002A3AB159A1ED4A40A9DFAD3C078A3B40,false,2018-10-07 08:00:02.000000,2018-10-08 20:26:09.000000,62.38,99,2018-11-25 20:06:35.977064,2018-11-25 20:06:35.977064,1,99
100,Vault 22,basketball,0101000020E6100000A181E026B0F64A40BF32148FBC7D3B40,false,2018-10-07 00:04:11.000000,2018-10-08 08:31:46.000000,22.55,51,2018-11-25 20:06:35.987036,2018-11-25 20:06:35.987036,1,51
102,New Reno,freewalkingtours,0101000020E610000082EE705F6FEF4A40B653F6DC0D8F3B40,false,2018-10-07 20:54:34.000000,2018-10-08 12:08:38.000000,67.22,40,2018-11-25 20:06:36.004042,2018-11-25 20:06:36.004042,1,40
103,The Institute,football,0101000020E6100000816B6FD55DF44A40CBDC70C8B29F3B40,false,2018-10-07 00:21:00.000000,2018-10-07 23:04:25.000000,33.56,64,2018-11-25 20:06:36.011035,2018-11-25 20:06:36.011035,1,64
104,Little Lamplight,other,0101000020E61000001713929E4EF24A40263774DF66763B40,false,2018-10-07 11:43:30.000000,2018-10-07 23:06:15.000000,15.05,20,2018-11-25 20:06:36.021042,2018-11-25 20:06:36.021042,1,20
105,Vault 13,meeting,0101000020E6100000BDDB117723F04A40F0B3943BEDA13B40,false,2018-10-07 05:19:44.000000,2018-10-07 22:23:34.000000,94.78,40,2018-11-25 20:06:36.027041,2018-11-25 20:06:36.027041,1,40
106,Vault 19,football,0101000020E61000000494A46F4EED4A40F44BAB2EB17B3B40,false,2018-10-07 16:58:18.000000,2018-10-08 08:32:37.000000,44.93,86,2018-11-25 20:06:36.036042,2018-11-25 20:06:36.036042,1,86
107,Red Rock Canyon,volleyball,0101000020E6100000F64E5BC32AF24A40FD1E78A2B7883B40,false,2018-10-07 03:13:07.000000,2018-10-07 23:20:26.000000,62.78,100,2018-11-25 20:06:36.044035,2018-11-25 20:06:36.044035,1,100
108,Big town,football,0101000020E6100000208188D7EFF44A40DE7883D2DE843B40,false,2018-10-07 07:59:12.000000,2018-10-08 16:59:21.000000,20.66,75,2018-11-25 20:06:36.056035,2018-11-25 20:06:36.056035,1,75
109,Vault 11,freewalkingtours,0101000020E610000059FAC8B758F74A403D89EC3BD7A73B40,false,2018-10-07 20:00:34.000000,2018-10-08 08:01:38.000000,18.94,92,2018-11-25 20:06:36.067037,2018-11-25 20:06:36.067037,1,92
110,Vault 19,meeting,0101000020E610000070F706955CF14A40E6B9A7E683A43B40,false,2018-10-07 05:44:48.000000,2018-10-08 03:32:08.000000,80.34,80,2018-11-25 20:06:36.075039,2018-11-25 20:06:36.075039,1,80
111,New Vegas,other,0101000020E61000007E531F7ACFF44A407085F7123FA63B40,false,2018-10-07 10:08:35.000000,2018-10-08 09:28:32.000000,22.99,71,2018-11-25 20:06:36.082055,2018-11-25 20:06:36.082055,1,71
112,The Institute,basketball,0101000020E61000003B74B7BFB2EF4A40EC200B1CBAA03B40,false,2018-10-07 03:46:52.000000,2018-10-08 06:05:26.000000,16.05,46,2018-11-25 20:06:36.088039,2018-11-25 20:06:36.088039,1,46
114,Nellis Air Force Base,other,0101000020E6100000E6D273A244EE4A401A42EF90E49F3B40,false,2018-10-07 07:42:26.000000,2018-10-08 00:31:59.000000,70.52,64,2018-11-25 20:06:36.100039,2018-11-25 20:06:36.100039,1,64
115,Vault 15,meeting,0101000020E610000026F196ADC4ED4A40747D36D123A43B40,false,2018-10-07 10:50:05.000000,2018-10-08 13:38:45.000000,95.21,47,2018-11-25 20:06:36.105039,2018-11-25 20:06:36.105039,1,47
116,Big town,meeting,0101000020E610000012850B3C81F14A40AAEA86E2D7AB3B40,false,2018-10-07 15:34:27.000000,2018-10-08 13:17:41.000000,72.38,59,2018-11-25 20:06:36.109039,2018-11-25 20:06:36.109039,1,59
117,The Institute,volleyball,0101000020E61000000AE1A7FEABF34A40C793080767823B40,false,2018-10-07 02:18:18.000000,2018-10-08 17:20:02.000000,18.32,95,2018-11-25 20:06:36.116040,2018-11-25 20:06:36.116040,1,95
118,Megaton,meeting,0101000020E6100000B508019294F44A406FBB5ACF579A3B40,false,2018-10-07 03:47:31.000000,2018-10-08 10:51:49.000000,42.52,50,2018-11-25 20:06:36.122042,2018-11-25 20:06:36.122042,1,50
120,Capital Wasteland,meeting,0101000020E6100000C9BF5DA8D9F14A40014D103976833B40,false,2018-10-07 06:06:37.000000,2018-10-08 18:58:58.000000,51.97,92,2018-11-25 20:06:36.133039,2018-11-25 20:06:36.133039,1,92
121,Nellis Air Force Base,other,0101000020E6100000D54FD0F669F04A403EFEBB2D03913B40,false,2018-10-07 04:02:50.000000,2018-10-08 04:11:02.000000,38.14,14,2018-11-25 20:06:36.138041,2018-11-25 20:06:36.138041,1,14
122,Vault 22,football,0101000020E61000009AF630CC49EC4A40FD650550F0753B40,false,2018-10-07 09:01:01.000000,2018-10-08 15:49:10.000000,97.01,76,2018-11-25 20:06:36.147041,2018-11-25 20:06:36.147041,1,76
124,Vault 11,football,0101000020E6100000A276037145F34A40C16A16A3EB803B40,false,2018-10-07 07:33:12.000000,2018-10-08 06:55:49.000000,70.15,45,2018-11-25 20:06:36.162036,2018-11-25 20:06:36.162036,1,45
125,Big town,meeting,0101000020E61000006939E11AE3F44A40045CDB6CDB973B40,false,2018-10-07 08:52:01.000000,2018-10-08 06:35:59.000000,97.04,36,2018-11-25 20:06:36.172036,2018-11-25 20:06:36.172036,1,36
126,Nellis Air Force Base,other,0101000020E61000006093D3E268F54A40D1611A5AD6A23B40,false,2018-10-07 14:56:34.000000,2018-10-08 06:22:45.000000,99.23,98,2018-11-25 20:06:36.182061,2018-11-25 20:06:36.182061,1,98
128,Little Lamplight,football,0101000020E6100000A03B97FED9F34A40040E6C6E1E7A3B40,false,2018-10-07 13:27:44.000000,2018-10-07 22:56:29.000000,61.32,54,2018-11-25 20:06:36.195046,2018-11-25 20:06:36.195046,1,54
129,Megaton,freewalkingtours,0101000020E610000054121711B8ED4A40E233A085BB8A3B40,false,2018-10-07 01:14:19.000000,2018-10-08 19:32:20.000000,15.08,76,2018-11-25 20:06:36.204042,2018-11-25 20:06:36.204042,1,76
132,Anchorage,basketball,0101000020E61000002467FEB962F74A40E5276FF0D7A33B40,false,2018-10-07 18:40:19.000000,2018-10-08 11:21:57.000000,16.71,95,2018-11-25 20:06:36.225040,2018-11-25 20:06:36.225040,1,95
133,Little Lamplight,volleyball,0101000020E6100000FC5F7C5265F44A406A1CC75C55843B40,false,2018-10-07 07:29:36.000000,2018-10-08 05:19:10.000000,30.65,70,2018-11-25 20:06:36.235039,2018-11-25 20:06:36.235039,1,70
134,Dog City,football,0101000020E61000005367AC40DBF04A406A52FE3E3E903B40,false,2018-10-07 11:36:46.000000,2018-10-08 13:38:45.000000,40.26,78,2018-11-25 20:06:36.243036,2018-11-25 20:06:36.243036,1,78
135,Vault 111,volleyball,0101000020E6100000F7236D3FA2EF4A40C2898D4EB1963B40,false,2018-10-07 04:02:54.000000,2018-10-08 08:58:17.000000,81.05,40,2018-11-25 20:06:36.258041,2018-11-25 20:06:36.258041,1,40
136,Vault 13,other,0101000020E6100000ADE1D243B4F64A409C48B71A3DA93B40,false,2018-10-07 05:56:07.000000,2018-10-08 01:30:44.000000,59.18,98,2018-11-25 20:06:36.272040,2018-11-25 20:06:36.272040,1,98
137,New Vegas,other,0101000020E61000009A91EECA6DF54A407660F8D0DEA33B40,false,2018-10-07 03:37:48.000000,2018-10-08 09:27:09.000000,24.03,58,2018-11-25 20:06:36.278038,2018-11-25 20:06:36.278038,1,58
138,Diamond City,meeting,0101000020E61000009CBC4EC667F74A409CA3429C2E913B40,false,2018-10-07 05:07:57.000000,2018-10-08 01:06:46.000000,32.68,87,2018-11-25 20:06:36.288037,2018-11-25 20:06:36.288037,1,87
139,Big MT,football,0101000020E610000044B6A98C20EF4A40DC8E8E0AF6873B40,false,2018-10-07 18:09:43.000000,2018-10-08 04:40:18.000000,34.61,96,2018-11-25 20:06:36.294035,2018-11-25 20:06:36.294035,1,96
140,Nellis Air Force Base,basketball,0101000020E610000068C9646179F14A40FFB8C939578E3B40,false,2018-10-07 04:26:53.000000,2018-10-07 23:56:09.000000,95.64,30,2018-11-25 20:06:36.304038,2018-11-25 20:06:36.304038,1,30
141,Lexington,meeting,0101000020E61000003A95869DDBF04A408DE82DB9FD823B40,false,2018-10-07 15:21:53.000000,2018-10-08 15:51:47.000000,81.44,50,2018-11-25 20:06:36.310039,2018-11-25 20:06:36.310039,1,50
142,New Vegas,volleyball,0101000020E61000009EEB19C0F4F24A40469C3FB0F39A3B40,false,2018-10-07 11:40:41.000000,2018-10-08 15:19:19.000000,57.92,31,2018-11-25 20:06:36.318039,2018-11-25 20:06:36.318039,1,31
